hub,site,observerPc,date,startTimePc,timePc,speciesPc,species_format,distancePc,countPc,detectionPc,notesPc
DC,COLSKATMD1,JLM,4/23/2016,7:03,3,BLJA,BLJA,11-20 ,1,Auditory,.
DC,COLSKATMD1,JLM,4/23/2016,7:03,3,BLJA,BLJA,21-30,1,Auditory,.
DC,COLSKATMD1,JLM,4/23/2016,7:03,3,NOCA,NOCA,21-30,1,Auditory,.
DC,COLSKATMD1,JLM,4/23/2016,7:03,3,HOWR,HOWR,41-50,1,Auditory,.
DC,COLSKATMD1,JLM,4/23/2016,7:03,3,TUTI,TUTI,21-30,1,Auditory,.
DC,COLSKATMD1,JLM,4/23/2016,7:03,3,WTSP,WTSP,31-40,1,Auditory,.
DC,COLSKATMD1,JLM,4/23/2016,7:03,3,RBWO,RBWO,11-20 ,1,Auditory,.
DC,COLSKATMD1,JLM,4/23/2016,7:03,2,CACH,CACH,0-10,1,Auditory,.
DC,COLSKATMD1,JLM,4/23/2016,7:03,2,CACH,CACH,11-20 ,1,Both,.
DC,GAETHEAMD1,JLM,4/28/2016,6:59,3,CAWR,CARW,11-20 ,1,Auditory,.
DC,GAETHEAMD1,JLM,4/28/2016,6:59,3,CACH,CACH,31-40,1,Auditory,.
DC,GAETHEAMD1,JLM,4/28/2016,6:59,3,MODO,MODO,11-20 ,1,Auditory,.
DC,GAETHEAMD1,JLM,4/28/2016,6:59,3,BLJA,BLJA,0-10,1,Both,.
DC,GAETHEAMD1,JLM,4/28/2016,6:59,3,NOCA,NOCA,31-40,1,Auditory,.
DC,GAETHEAMD1,JLM,4/28/2016,6:59,3,SOSP,SOSP,11-20 ,1,Auditory,.
DC,GAETHEAMD1,JLM,4/28/2016,6:59,3,RBWO,RBWO,0-10,1,Auditory,.
DC,GAETHEAMD1,JLM,4/28/2016,6:59,3,HOFI,HOFI,11-20 ,1,Visual,.
DC,GAETHEAMD1,JLM,4/28/2016,6:59,2,WTSP,WTSP,31-40,1,Auditory,.
DC,GAETHEAMD1,JLM,4/28/2016,6:59,5,GRCA,GRCA,31-40,1,Auditory,.
DC,GAETHEAMD1,JLM,4/28/2016,6:59,5,TUTI,TUTI,0-10,2,Visual,.
DC,GAETHEAMD1,JLM,4/28/2016,6:59,5,INBU,INBU,0-10,1,Visual,.
DC,EVANMICMD1,KPK,4/28/2016,7:07,3,HOFI,HOFI,11-20 ,1,Auditory,.
DC,EVANMICMD1,KPK,4/28/2016,7:07,3,HOSP,HOSP,0-10,1,Visual,.
DC,EVANMICMD1,KPK,4/28/2016,7:07,3,AMRO,AMRO,41-50,1,Auditory,.
DC,EVANMICMD1,KPK,4/28/2016,7:07,3,NOCA,NOCA,31-40,2,Auditory,.
DC,EVANMICMD1,KPK,4/28/2016,7:07,3,HOWR,HOWR,11-20 ,1,Auditory,.
DC,EVANMICMD1,KPK,4/28/2016,7:07,3,RBWO,RBWO,21-30,1,Auditory,.
DC,EVANMICMD1,KPK,4/28/2016,7:07,3,RBWO,RBWO,41-50,1,Auditory,.
DC,EVANMICMD1,KPK,4/28/2016,7:07,2,HOWR,HOWR,0-10,1,Auditory,.
DC,EVANMICMD1,KPK,4/28/2016,7:07,2,AMGO,AMGO,0-10,1,Visual,.
DC,EVANMICMD1,KPK,4/28/2016,7:07,5,YRWR,YRWA,11-20 ,1,Auditory,.
DC,EVANMICMD1,KPK,4/28/2016,7:07,5,WTSP,WTSP,41-50,1,Auditory,.
DC,EVANMICMD1,KPK,4/28/2016,7:07,5,AMRO,AMRO,11-20 ,1,Auditory,.
DC,EVANMICMD1,KPK,4/28/2016,7:07,5,DOWO,DOWO,0-10,1,Visual,.
DC,EVANMICMD1,KPK,4/28/2016,7:07,5,EATO,EATO,41-50,1,Auditory,.
DC,EVANMICMD1,KPK,4/28/2016,7:07,5,AMRO,AMRO,21-30,1,Auditory,.
DC,EVANMICMD1,KPK,4/28/2016,7:07,5,NOCA,NOCA,41-50,1,Auditory,.
DC,CAPITCSDC1,KPK,4/29/2016,8:20,3,AMRO,AMRO,31-40,1,Auditory,.
DC,CAPITCSDC1,KPK,4/29/2016,8:20,3,YRWA,YRWA,21-30,1,Auditory,.
DC,CAPITCSDC1,KPK,4/29/2016,8:20,3,GRCA,GRCA,31-40,1,Auditory,.
DC,CAPITCSDC1,KPK,4/29/2016,8:20,3,NOCA,NOCA,11-20 ,1,Auditory,.
DC,CAPITCSDC1,KPK,4/29/2016,8:20,3,AMRO,AMRO,11-20 ,1,Both,.
DC,CAPITCSDC1,KPK,4/29/2016,8:20,3,CARW,CARW,31-40,1,Auditory,.
DC,CAPITCSDC1,KPK,4/29/2016,8:20,3,RBWO,RBWO,41-50,1,Auditory,.
DC,CAPITCSDC1,KPK,4/29/2016,8:20,2,YRWA,YRWA,41-50,1,Auditory,.
DC,CAPITCSDC1,KPK,4/29/2016,8:20,2,NOPA,NOPA,31-40,1,Auditory,.
DC,CAPITCSDC1,KPK,4/29/2016,8:20,2,AMRO,AMRO,21-30,1,Auditory,.
DC,CAPITCSDC1,KPK,4/29/2016,8:20,5,AMRO,AMRO,0-10,1,Both,.
DC,CAPITCSDC1,KPK,4/29/2016,8:20,5,EATO,EATO,31-40,1,Auditory,.
DC,CAPITCSDC1,KPK,4/29/2016,8:20,5,NOCA,NOCA,21-30,1,Both,.
DC,CAPITCSDC1,KPK,4/29/2016,8:20,5,EATO,EATO,11-20 ,1,Visual,.
DC,HANNNANMD1,KPK,4/30/2016,7:02,3,AMRO,AMRO,0-10,1,Both,.
DC,HANNNANMD1,KPK,4/30/2016,7:02,3,AMRO,AMRO,21-30,1,Both,.
DC,HANNNANMD1,KPK,4/30/2016,7:02,3,NOFI,NOFI,11-20 ,1,Auditory,.
DC,HANNNANMD1,KPK,4/30/2016,7:02,3,HOWR,HOWR,0-10,1,Auditory,.
DC,HANNNANMD1,KPK,4/30/2016,7:02,3,GRCA,GRCA,0-10,1,Auditory,.
DC,HANNNANMD1,KPK,4/30/2016,7:02,3,MODO,MODO,21-30,1,Visual,.
DC,HANNNANMD1,KPK,4/30/2016,7:02,3,SOSP,SOSP,0-10,1,Auditory,.
DC,HANNNANMD1,KPK,4/30/2016,7:02,3,HOSP,HOSP,11-20 ,1,Visual,.
DC,HANNNANMD1,KPK,4/30/2016,7:02,2,AMGO,AMGO,11-20 ,3,Both,.
DC,HANNNANMD1,KPK,4/30/2016,7:02,2,MODO,MODO,0-10,1,Visual,.
DC,HANNNANMD1,KPK,4/30/2016,7:02,5,HOSP,HOSP,0-10,2,Both,.
DC,HANNNANMD1,KPK,4/30/2016,7:02,5,EUST,EUST,0-10,1,Visual,.
DC,HANNNANMD1,KPK,4/30/2016,7:02,5,BLJA,BLJA,0-10,1,Both,.
DC,HANNNANMD1,KPK,4/30/2016,7:02,5,WBNU,WBNU,31-40,1,Auditory,.
DC,HUNTDAVMD1,JLM,4/30/2016,7:06,3,CACH,CACH,31-40,1,Auditory,.
DC,HUNTDAVMD1,JLM,4/30/2016,7:06,3,WTSP,WTSP,11-20 ,1,Auditory,.
DC,HUNTDAVMD1,JLM,4/30/2016,7:06,3,EATO,EATO,21-30,1,Auditory,.
DC,HUNTDAVMD1,JLM,4/30/2016,7:06,3,NOCA,NOCA,21-30,1,Auditory,.
DC,HUNTDAVMD1,JLM,4/30/2016,7:06,3,NOCA,NOCA,31-40,1,Auditory,.
DC,HUNTDAVMD1,JLM,4/30/2016,7:06,3,AMRO,AMRO,0-10,1,Both,.
DC,HUNTDAVMD1,JLM,4/30/2016,7:06,2,RBWO,RBWO,41-50,1,Auditory,.
DC,HUNTDAVMD1,JLM,4/30/2016,7:06,5,CARW,CARW,21-30,1,Auditory,.
DC,HUNTDAVMD1,JLM,4/30/2016,7:06,5,TUTI,TUTI,11-20 ,1,Auditory,.
DC,HUNTDAVMD1,JLM,4/30/2016,7:06,5,BLJA,BLJA,11-20 ,1,Visual,.
DC,BAILEESVA1,JLM,5/2/2016,8:40,3,HOSP,HOSP,21-30,1,Auditory,.
DC,BAILEESVA1,JLM,5/2/2016,8:40,3,SOSP,SOSP,11-20 ,2,Auditory,.
DC,BAILEESVA1,JLM,5/2/2016,8:40,3,AMRO,AMRO,0-10,1,Visual,.
DC,BAILEESVA1,JLM,5/2/2016,8:40,3,NOCA,NOCA,21-30,1,Auditory,.
DC,BAILEESVA1,JLM,5/2/2016,8:40,3,CACH,CACH,41-50,1,Auditory,.
DC,BAILEESVA1,JLM,5/2/2016,8:40,2,COGR,COGR,11-20 ,1,Visual,.
DC,BAILEESVA1,JLM,5/2/2016,8:40,2,GRCA,GRCA,31-40,1,Auditory,.
DC,BAILEESVA1,JLM,5/2/2016,8:40,2,CARW,CARW,31-40,1,Auditory,.
DC,BAILEESVA1,JLM,5/2/2016,8:40,5,AMCR,AMCR,11-20 ,1,Auditory,.
DC,BAILEESVA1,JLM,5/2/2016,8:40,5,HOWR,HOWR,41-50,1,Auditory,.
DC,BANCRESDC1,ERF,5/3/2016,9:00,3,HOSP,HOSP,0-10,1,Auditory,.
DC,BANCRESDC1,ERF,5/3/2016,9:00,3,BTGW,BTNW,11-20 ,1,Auditory,.
