element,guild,response,species
functional,trophic,omnivore,amcr
functional,trophic,omnivore,amgo
functional,trophic,omnivore,amro
functional,trophic,omnivore,baor
functional,trophic,omnivore,bhco
functional,trophic,omnivore,blja
functional,trophic,omnivore,bobo
functional,trophic,omnivore,brth
functional,trophic,omnivore,chsp
functional,trophic,omnivore,cogr
functional,trophic,omnivore,cora
functional,trophic,omnivore,deju
functional,trophic,omnivore,eabl
functional,trophic,omnivore,eame
functional,trophic,omnivore,eato
functional,trophic,omnivore,eust
functional,trophic,omnivore,ficr
functional,trophic,omnivore,fisp
functional,trophic,omnivore,grca
functional,trophic,omnivore,grsp
functional,trophic,omnivore,hesp
functional,trophic,omnivore,hola
functional,trophic,omnivore,inbu
functional,trophic,omnivore,noca
functional,trophic,omnivore,nomo
functional,trophic,omnivore,rbgr
functional,trophic,omnivore,rodo
functional,trophic,omnivore,ropi
functional,trophic,omnivore,rthu
functional,trophic,omnivore,rwbl
functional,trophic,omnivore,sasp
functional,trophic,omnivore,sosp
functional,trophic,omnivore,swsp
functional,trophic,omnivore,veer
functional,trophic,omnivore,vesp
functional,trophic,omnivore,woth
functional,trophic,omnivore,wtsp
functional,trophic,omnivore,ybch
functional,trophic,omnivore,ybsa
functional,insectivore_forage,bark_prober,baww
functional,insectivore_forage,bark_prober,brcr
functional,insectivore_forage,bark_prober,dowo
functional,insectivore_forage,bark_prober,hawo
functional,insectivore_forage,bark_prober,piwa
functional,insectivore_forage,bark_prober,piwo
functional,insectivore_forage,bark_prober,rbnu
functional,insectivore_forage,bark_prober,rbwo
functional,insectivore_forage,bark_prober,rhwo
functional,insectivore_forage,bark_prober,wbnu
functional,insectivore_forage,bark_prober,ytwa
functional,insectivore_forage,ground_gleaner,heth
functional,insectivore_forage,ground_gleaner,kewa
functional,insectivore_forage,ground_gleaner,mowa
functional,insectivore_forage,ground_gleaner,nofl
functional,insectivore_forage,ground_gleaner,oven
functional,insectivore_forage,ground_gleaner,wewa
functional,insectivore_forage,ground_gleaner,wiwr
functional,insectivore_forage,upper_canopy,bggn
functional,insectivore_forage,upper_canopy,blbw
functional,insectivore_forage,upper_canopy,btnw
functional,insectivore_forage,upper_canopy,cerw
functional,insectivore_forage,upper_canopy,gwwa
functional,insectivore_forage,upper_canopy,nopa
functional,insectivore_forage,upper_canopy,oror
functional,insectivore_forage,upper_canopy,revi
functional,insectivore_forage,upper_canopy,scta
functional,insectivore_forage,upper_canopy,suta
functional,insectivore_forage,upper_canopy,wavi
functional,insectivore_forage,upper_canopy,ytvi
functional,insectivore_forage,upper_canopy,ytwa
functional,insectivore_forage,lower_canopy,amre
functional,insectivore_forage,lower_canopy,bbcu
functional,insectivore_forage,lower_canopy,bcch
functional,insectivore_forage,lower_canopy,bhvi
functional,insectivore_forage,lower_canopy,btbw
functional,insectivore_forage,lower_canopy,bwwa
