guild_type,guild,proportion_low,proportion_high,rank
structural,forest_generalist,0,0.28,4.5
structural,forest_generalist,0.281,1,2.5
structural,interior_forest,0,0.01,1
structural,interior_forest,0.011,0.08,1.5
structural,interior_forest,0.081,0.26,3
structural,interior_forest,0.261,0.43,4
structural,interior_forest,0.431,1,5
structural,forest_ground,0,0,1
structural,forest_ground,0.001,0.02,1.5
structural,forest_ground,0.021,0.16,3
structural,forest_ground,0.161,0.24,4.5
structural,forest_ground,0.241,1,5
structural,open_ground,0,0.02,1
structural,open_ground,0.021,0.11,2.5
structural,open_ground,0.111,1,5
structural,shrub,0,0.21,4
structural,shrub,0.211,0.33,1.5
structural,shrub,0.331,1,1
structural,canopy_nester,0,0.28,1.5
structural,canopy_nester,0.281,0.32,2
structural,canopy_nester,0.321,1,4.5
functional,bark_prober,0,0.06,1.5
functional,bark_prober,0.061,0.11,3
functional,bark_prober,0.111,0.17,4
functional,bark_prober,0.171,1,5
functional,ground_gleaner,0,0.05,1.5
functional,ground_gleaner,0.051,0.07,2
functional,ground_gleaner,0.071,0.14,4.5
functional,ground_gleaner,0.141,1,5
functional,upper_canopy,0,0.03,1.5
functional,upper_canopy,0.031,0.05,2
functional,upper_canopy,0.051,0.12,3
functional,upper_canopy,0.121,0.2,4.5
functional,upper_canopy,0.201,1,5
functional,lower_canopy,0,0.14,1.5
functional,lower_canopy,0.141,0.23,2.5
functional,lower_canopy,0.231,1,5
functional,omnivore,0,0.29,5
functional,omnivore,0.291,0.41,4
functional,omnivore,0.411,0.48,3
functional,omnivore,0.481,0.58,1
functional,omnivore,0.581,1,2
compositional,predator_parasite,0,0.1,5
compositional,predator_parasite,0.101,0.15,3.5
compositional,predator_parasite,0.151,0.18,2
compositional,predator_parasite,0.181,1,1
compositional,exotic,0,0,5
compositional,exotic,0.001,0.02,4.5
compositional,exotic,0.021,0.05,3
compositional,exotic,0.051,0.11,2
compositional,exotic,0.111,1,1
compositional,resident,0,0.26,5
compositional,resident,0.261,0.39,3.5
compositional,resident,0.391,0.57,2
compositional,resident,0.571,1,1
compositional,temperate_migrant,0,0.21,4
compositional,temperate_migrant,0.211,0.3,2
compositional,temperate_migrant,0.301,1,1
compositional,single_brood,0,0.41,1.5
compositional,single_brood,0.411,0.45,2
compositional,single_brood,0.451,0.61,3
compositional,single_brood,0.611,0.73,4
compositional,single_brood,0.731,1,5
