site,date,point,shrubspp,shrub_format,tree check,height,width,depth,notes,year
marrpetmd2,2013,marrpet-42,unknown ornamental shrub,unknown ornamental shrub,unknown ornamental shrub,1,1,1,.,2013
marrpetmd2,2013,marrpet-42,Butterfly Bush,Butterfly Bush,butterfly bush,2,0.75,1,.,2013
marrpetmd2,2013,marrpet-42,heavenly bamboo (nandina),nandina,nandina,2.5,2.5,1,.,2013
marrpetmd2,2013,marrpet-42,butterfly bush,butterfly bush,butterfly bush,3,2,2,.,2013
marrpetmd2,2013,marrpet-42,heavenly bamboo (nandina),nandina,nandina,2.5,2.5,1,.,2013
marrpetmd2,2013,marrpet-42,camellia,camellia,camellia,2,1.5,2,.,2013
marrpetmd2,2013,marrpet-42,heavenly bamboo (nandina),nandina,nandina,1.5,2,"1
1",.,2013
marrpetmd2,2013,marrpet-42,euonymous spp.,euonymus,euonymus,0.75,2.5,1,.,2013
marrpetmd2,2013,marrpet-42,azaleas,azalea,azalea,0.5,0.75,0.5,.,2013
marrpetmd2,2013,marrpet-42,laurel spp.,cherry laurel,cherry laurel,1.75,0.5,2.5,.,2013
marrpetmd2,2013,marrpet-42,laurel spp.,cherry laurel,cherry laurel,1,0.5,0.5,.,2013
marrpetmd2,2013,marrpet-42,unknown ornamental shrub,unknown ornamental shrub,unknown ornamental shrub,2.5,1,0.75,.,2013
marrpetmd2,2013,marrpet-42,hydrangea,hydrangea,hydrangea,1.5,1,0.5,.,2013
marrpetmd2,2013,marrpet-42,unknown ornamental shrub,unknown ornamental shrub,unknown ornamental shrub,1.5,1,0.5,.,2013
marrpetmd2,2013,marrpet-42,butterfly bush,butterfly bush,butterfly bush,2,1.25,1.25,.,2013
marrpetmd2,2013,marrpet-42,unknown ornamental shrub,unknown ornamental shrub,unknown ornamental shrub,1.5,1.5,"0.7",.,2013
marrpetmd2,2013,marrpet-nest,butterfly bush,butterfly bush,butterfly bush,1,2,1,.,2013
marrpetmd2,2013,marrpet-nest,butterfly bush,butterfly bush,butterfly bush,1.5,0.5,1,.,2013
