site,date,point,treespp,treespp_format,check,dbh1,dbh2,dbh3,dbh4,dbh5,dbh6,dbh7,dbh8,dbh9,dbh10,dbh11,dbh12,dbh13,dbh14,dbh15,dbh16,dbh17,dbh18,dbh19,dbh20,dbh21,dbh22,height,height_to_crown,Width1,width2,Condition,notes,year,notes
ahmafatdc1,6/27/2014,2,norway spruce,norway spruce,norway spruce,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,5,7,7,unknown,.,2014,
ahmafatdc1,6/27/2014,2,yellowwood,yellowwood,yellowwood,4,3,2,4,3,2,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,1,3.5,3.5,p,.,2014,
ahmafatdc1,6/27/2014,2,sweetgum,sweetgum,sweetgum,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,1.5,2,2,p,.,2014,sweetgum rotunda
ahmafatdc1,6/27/2014,3,bradford pear,bradford pear,bradford pear,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,3,4.5,4.5,p,.,2014,
ahmafatdc1,6/27/2014,1,black cherry,black cherry,black cherry,55,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,7,6,6,unknown,.,2014,
ahmafatdc1,6/27/2014,1,american holly,american holly,american holly,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,2,4.5,4.5,unknown,.,2014,
ahmafatdc1,6/27/2014,1,ornamental holly,ornamental holly,ornamental holly,2,1,2,2,2,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,0,2,2,unknown,.,2014,
ahmafatdc1,6/27/2014,1,norway spruce,norway spruce,norway spruce,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,3,4,4,unknown,.,2014,
ahmafatdc1,6/27/2014,1,saucercup magnolia,saucercup magnolia,saucercup magnolia,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,2,4,4,unknown,.,2014,
ahmafatdc1,6/27/2014,nestbox,euonymus,euonymus,euonymus,5,4,3,2,5,4,3,3,2,.,.,.,.,.,.,.,.,.,.,.,.,.,3,0,2,2,p,.,2014,
