plantspecies,genus,taxa origin,genus_origin (via DT),leaftype,family,Total Lep spp,Exotic Lep spp,Native Lep spp,group,correctedlep,notes,paired_congener,congener
abelia,abelia,non-native,non-native,deciduous,Caprifoliaceae,1,0,1,abelia-exotic,1,,exotic,exotic
akebia,akebia,non-native,non-native,deciduous,Lardizabalaceae,0,0,0,akebia-exotic,0,chocolate vine,exotic,exotic
alberta spruce,picea,native,native,conifer,Pinaceae,150,4,146,picea-exotic,150,,native congener,native
alder,alnus,native,native,deciduous,Betulaceae,255,7,248,alnus-native,255,,native,native
almond,prunus,non-native,native,deciduous,Rosaceae,456,27,429,prunus-exotic,82.08,,exotic congener,exotic congener
almond/peach,prunus,non-native,native,deciduous,Rosaceae,456,27,429,prunus-exotic,82.08,,exotic congener,exotic congener
alternate-leaf dogwood,cornus,native,native,deciduous,Cornaceae,118,2,116,cornus-native,118,,native congener,native
american elm,ulmus,native,native,deciduous,Ulmaceae,215,9,206,ulmus-native,215,,native congener,native
american holly,ilex,native,native,conifer,Aquifoliaceae,39,5,34,ilex-native,39,,native congener,native
american linden,tilia,native,native,deciduous,Tiliaceae,149,7,142,tilia-native,149,,native congener,native
american plum,prunus,native,native,deciduous,Rosaceae,456,27,429,prunus-native,456,,native congener,native
american wisteria,wisteria,native,native,deciduous,Fabaceae,19,1,18,wisteria-exotic,19,,native congener,native
amur maple,acer,non-native,native,deciduous,Sapindaceae,297,10,287,acer-exotic,53.46,,exotic congener,exotic congener
apple sp.,malus,non-native,native,deciduous,Rosaceae,308,24,284,malus-exotic,55.44,,exotic,exotic congener
aronia,aronia,native,native,deciduous,Rosaceae,6,1,5,aronia-native,6,,native,native
arrowwood viburnum,viburnum,native,native,deciduous,Caprifoliaceae,104,6,98,viburnum-native,104,,native congener,native
ash sp.,fraxinus,native,native,deciduous,Oleaceae,149,8,141,fraxinus-native,149,,native,native
asian pear,pyrus,non-native,non-native,deciduous,Rosaceae,138,19,119,pyrus-exotic,138,,exotic,exotic
atlas cedar,cedrus,non-native,non-native,conifer,Pinaceae,3,0,3,cedrus-exotic,3,,exotic,exotic
aucuba japonica,aucuba,non-native,non-native,conifer,Garryaceae,1,0,1,aucuba-exotic,1,leps from HOSTS,exotic,exotic
avocado,persea,native,native,deciduous,Lauraceae,18,2,16,persea-native,18,,native,native
azalea,rhododendron,non-native,native,deciduous,Ericaceae,51,1,50,rhododendron-exotic,9.18,changed from native to non-native as per DT,exotic congener,exotic congener
azalea (native),rhododendron,native,native,deciduous,Ericaceae,51,1,50,rhododendron-native,51,,native congener,native
bald cypress,taxodium,native,native,deciduous,Cupressaceae,16,1,15,taxodium-native,16,,native,native
bamboo,bambusa,non-native,non-native,.,Poaceae,1,0,1,bambusa-exotic,1,,exotic,exotic
